user_id	item_id
0	94
1	143
2	186
3	231
4	277
5	326
6	359
7	407
8	446
9	61
10	514
11	288
12	588
13	623
14	667
15	395
16	728
17	771
18	789
19	836
20	869
21	891
22	304
23	946
24	977
25	891
26	202
27	1045
28	507
29	1094
30	1131
31	1154
32	179
33	1187
34	1224
35	281
36	41
37	1321
38	1359
39	1377
40	1395
41	1412
42	1433
43	1442
44	175
45	467
46	1375
47	722
48	715
49	1553
50	180
51	1588
52	1624
53	1652
54	288
55	783
56	699
57	119
58	59
59	1785
60	1800
61	1834
62	1860
63	1885
64	310
65	1950
66	1361
67	1324
68	244
69	1687
70	772
71	2062
72	2097
73	2119
74	2151
75	2160
76	1526
77	2236
78	2270
79	2313
80	2326
81	1655
82	2360
83	298
84	147
85	311
86	530
87	467
88	61
89	2508
90	2516
91	71
92	2560
93	59
94	1090
95	2459
96	670
97	717
98	369
99	2632
100	2662
101	2698
102	227
103	2744
104	2762
105	369
106	2351
107	2798
108	2816
109	90
110	90
111	1918
112	185
113	473
114	792
115	370
116	2325
117	600
118	218
119	2712
120	1991
121	2492
122	478
123	3083
124	65
125	234
126	410
127	537
128	456
129	337
130	8
131	527
132	703
133	695
134	204
135	156
136	3242
137	978
138	641
139	317
140	1429
141	276
142	3306
143	3316
144	3319
145	191
146	1230
147	147
148	191
149	856
150	213
151	2315
152	3441
153	892
154	3496
155	3263
156	3540
157	3552
158	1826
159	743
160	1505
161	213
162	189
163	1655
164	931
165	3522
166	1786
167	2316
168	1517
169	478
170	755
171	3756
172	3786
173	566
174	1090
175	3313
176	183
177	1399
178	3412
179	3849
180	3887
181	164
182	3924
183	3946
184	3960
185	2508
186	53
187	2794
188	169
189	4047
190	1090
191	4076
192	4118
193	2794
194	948
195	4158
196	4184
197	304
198	4203
199	521
200	4237
201	2355
202	4246
203	4272
204	4287
205	1345
206	4320
207	326
208	4346
209	1432
210	999
211	4391
212	4395
213	378
214	2607
215	6
216	2074
217	378
218	259
219	3569
220	4482
221	929
222	324
223	188
224	4543
225	1440
226	4056
227	901
228	294
229	213
230	1362
231	533
232	363
233	935
234	1391
235	1018
236	1754
237	4710
238	1772
239	4440
240	4736
241	286
242	4770
243	4791
244	3259
245	4831
246	55
247	4851
248	2989
249	1875
250	83
251	4874
252	223
253	75
254	2492
255	370
256	4946
257	148
258	1076
259	453
260	4992
261	5000
262	914
263	717
264	3898
265	147
266	1362
267	1435
268	222
269	348
270	152
271	961
272	5143
273	5164
274	695
275	1260
276	554
277	5263
278	2574
279	5288
280	2762
281	1786
282	299
283	3340
284	14
285	1428
286	2748
287	5361
288	4545
289	460
290	5396
291	405
292	1346
293	1432
294	324
295	5449
296	5082
297	311
298	707
299	5501
300	1897
301	783
302	5504
303	64
304	464
305	523
306	59
307	4669
308	250
309	378
310	49
311	5614
312	1225
313	281
314	5642
315	5665
316	5677
317	889
318	5684
319	735
320	896
321	942
322	999
323	61
324	1146
325	59
326	2060
327	4972
328	2001
329	1024
330	5818
331	325
332	307
333	321
334	5862
335	5874
336	5888
337	5908
338	5949
339	503
340	473
341	5618
342	605
343	3171
344	3236
345	3039
346	6053
347	678
348	164
349	1058
350	1048
351	79
352	299
353	6116
354	1655
355	1399
356	234
357	6169
358	958
359	210
360	404
361	6213
362	221
363	1429
364	676
365	147
366	3988
367	4965
368	6310
369	6334
370	1000
371	1030
372	335
373	633
374	528
375	1793
376	479
377	1165
378	289
379	1411
380	192
381	2099
382	183
383	326
384	1843
385	2161
386	150
387	249
388	678
389	5991
390	1229
391	6501
392	250
393	6535
394	243
395	62
396	6564
397	321
398	6574
399	4117
400	6591
401	3680
402	952
403	530
404	495
405	50
406	741
407	2101
408	458
409	238
410	269
411	2386
412	1075
413	1045
414	6768
415	8
416	3891
417	3448
418	553
419	6857
420	518
421	590
422	3795
423	11945
424	78
425	314
426	904
427	63
428	4164
429	2712
430	46
431	590
432	223
433	2991
434	428
435	381
436	7035
437	282
438	7056
439	945
440	1116
441	169
442	515
443	7110
444	7116
445	1092
446	6262
447	968
448	325
449	7140
450	147
451	175
452	1767
453	7178
454	244
455	250
456	7195
457	849
458	147
459	2709
460	7229
461	59
462	7238
463	1038
464	40
465	370
466	1038
467	191
468	7286
469	1038
470	1023
471	317
472	281
473	2143
474	7341
475	7388
476	213
477	3
478	2241
479	7425
480	594
481	958
482	2498
483	3373
484	2571
485	7490
486	1391
487	5059
488	1091
489	156
490	1365
491	965
492	1437
493	6004
494	425
495	517
496	213
497	7614
498	184
499	3318
500	213
501	2075
502	901
503	258
504	1199
505	849
506	7622
507	906
508	3356
509	482
510	935
511	1494
512	2
513	1400
514	909
515	2603
516	4913
517	899
518	899
519	50
520	1990
521	7806
522	1357
523	180
524	7851
525	7861
526	7884
527	70
528	968
529	3618
530	525
531	530
532	292
533	3581
534	540
535	2227
536	525
537	71
538	3780
539	7987
540	3018
541	3183
542	8026
543	7025
544	2120
545	4806
546	8064
547	2748
548	8092
549	467
550	276
551	326
552	13
553	4154
554	227
555	1349
556	2525
557	490
558	59
559	8211
560	945
561	309
562	6173
563	8247
564	8074
565	2761
566	49
567	29
568	3029
569	620
570	3370
571	8327
572	820
573	253
574	8370
575	82
576	453
577	5580
578	8387
579	1104
580	8400
581	8409
582	916
583	428
584	8438
