user_id	tag_id
0	9
1	2
2	20
3	23
4	2
5	29
6	40
7	34
8	23
9	24
10	32
11	11
12	2
13	46
14	2
15	43
16	4
17	41
18	27
19	34
20	21
21	5
22	29
23	22
24	9
25	38
26	12
27	48
28	9
29	30
30	17
31	42
32	2
33	18
34	28
35	25
36	2
37	2
38	22
39	13
40	0
41	21
42	24
43	27
44	27
45	5
46	15
47	30
48	26
49	34
50	40
51	40
52	16
53	16
54	14
55	12
56	37
57	41
58	46
59	37
60	4
61	2
62	18
63	38
64	29
65	41
66	31
67	22
68	29
69	38
70	35
71	6
72	2
73	23
74	41
75	24
76	34
77	2
78	41
79	2
80	26
81	47
82	47
83	40
84	46
85	14
86	28
87	28
88	40
89	42
90	33
91	35
92	10
93	11
94	0
95	42
96	44
97	16
98	37
99	44
100	41
101	2
102	22
103	2
104	26
105	39
106	10
107	2
108	47
109	4
110	2
111	2
112	38
113	18
114	22
115	24
116	24
117	28
118	41
119	37
120	3
121	43
122	47
123	28
124	11
125	11
126	41
127	33
128	27
129	40
130	5
131	36
132	13
133	44
134	23
135	7
136	38
137	7
138	29
139	1
140	36
141	11
142	41
143	32
144	24
145	35
146	14
147	16
148	47
149	28
150	0
151	26
152	15
153	5
154	34
155	15
156	2
157	16
158	46
159	41
160	47
161	37
162	23
163	30
164	16
165	35
166	42
167	21
168	17
169	43
170	2
171	16
172	2
173	20
174	37
175	38
176	43
177	38
178	2
179	49
180	35
181	7
182	2
183	9
184	46
185	42
186	30
187	34
188	4
189	9
190	22
191	34
192	2
193	18
194	42
195	15
196	22
197	36
198	15
199	0
200	22
201	49
202	43
203	17
204	9
205	17
206	21
207	32
208	23
209	24
210	38
211	34
212	27
213	27
214	28
215	15
216	27
217	29
218	40
219	43
220	2
221	22
222	19
223	42
224	2
225	43
226	47
227	29
228	5
229	25
230	34
231	12
232	18
233	17
234	17
235	1
236	8
237	34
238	41
239	29
240	2
241	27
242	16
243	35
244	34
245	28
246	9
247	9
248	47
249	20
250	48
251	22
252	37
253	2
254	27
255	18
256	2
257	20
258	16
259	24
260	34
261	13
262	26
263	4
264	2
265	17
266	49
267	36
268	31
269	45
270	38
271	39
272	21
273	3
274	2
275	26
276	2
277	46
278	16
279	13
280	47
281	43
282	1
283	4
284	10
285	6
286	20
287	2
288	26
289	40
290	16
291	2
292	22
293	32
294	45
295	47
296	4
297	40
298	2
299	28
300	22
301	39
302	26
303	2
304	24
305	5
306	0
307	19
308	12
309	39
310	39
311	11
312	31
313	8
314	16
315	22
316	9
317	33
318	11
319	2
320	0
321	26
322	2
323	10
324	25
325	18
326	39
327	41
328	27
329	14
330	43
331	12
332	24
333	48
334	34
335	10
336	10
337	38
338	2
339	29
340	44
341	18
342	46
343	2
344	46
345	18
346	41
347	23
348	37
349	28
350	18
351	2
352	1
353	22
354	22
355	4
356	40
357	2
358	3
359	43
360	16
361	35
362	47
363	27
364	18
365	19
366	7
367	17
368	47
369	41
370	20
371	30
372	27
373	27
374	44
375	26
376	48
377	18
378	40
379	17
380	41
381	16
382	25
383	34
384	2
385	5
386	19
387	6
388	6
389	2
390	11
391	16
392	40
393	35
394	36
395	20
396	47
397	33
398	41
399	16
400	38
401	38
402	31
