user_id,item_id,time
2,100,1765678110
2,99,1765678111
2,98,1765678112
2,97,1765678113
2,96,1765678114
2,95,1765678115
2,94,1765678116
2,93,1765678117
2,92,1765678118
2,91,1765678119
2,90,1765678120
2,89,1765678121
2,88,1765678122
2,87,1765678123
2,86,1765678124
2,85,1765678125
2,84,1765678126
2,83,1765678127
2,82,1765678128
2,81,1765678129
2,80,1765678130
2,79,1765678131
2,78,1765678132
2,77,1765678133
2,76,1765678134
2,75,1765678135
2,74,1765678136
2,73,1765678137
2,72,1765678138
2,71,1765678139
2,70,1765678140
2,69,1765678141
2,68,1765678142
2,67,1765678143
2,66,1765678144
2,65,1765678145
2,64,1765678146
2,63,1765678147
2,62,1765678148
2,61,1765678149
2,60,1765678150
2,59,1765678151
2,58,1765678152
2,57,1765678153
2,56,1765678154
2,55,1765678155
2,54,1765678156
2,53,1765678157
2,52,1765678158
2,51,1765678159
3,150,1765678110
3,148,1765678111
3,149,1765678112
3,146,1765678113
3,147,1765678114
3,145,1765678115
3,144,1765678116
3,141,1765678117
3,142,1765678118
3,143,1765678119
3,140,1765678120
3,138,1765678121
3,139,1765678122
3,137,1765678123
3,136,1765678124
3,134,1765678125
3,135,1765678126
3,132,1765678127
3,133,1765678128
3,131,1765678129
3,130,1765678130
3,129,1765678131
3,127,1765678132
3,128,1765678133
3,126,1765678134
3,125,1765678135
3,124,1765678136
3,123,1765678137
3,122,1765678138
3,121,1765678139
3,120,1765678140
3,118,1765678141
3,119,1765678142
3,117,1765678143
3,116,1765678144
3,115,1765678145
3,114,1765678146
3,113,1765678147
3,112,1765678148
3,111,1765678149
3,109,1765678150
3,110,1765678151
3,108,1765678152
3,107,1765678153
3,106,1765678154
3,105,1765678155
3,104,1765678156
3,103,1765678157
3,102,1765678158
3,101,1765678159
4,193,1765678110
4,192,1765678111
4,191,1765678112
4,190,1765678113
4,189,1765678114
4,188,1765678115
4,187,1765678116
4,51,1765678117
4,186,1765678118
4,185,1765678119
4,184,1765678120
4,183,1765678121
4,182,1765678122
4,181,1765678123
4,180,1765678124
4,179,1765678125
4,178,1765678126
4,176,1765678127
4,177,1765678128
4,175,1765678129
4,174,1765678130
4,173,1765678131
4,65,1765678132
4,172,1765678133
4,171,1765678134
4,170,1765678135
4,169,1765678136
4,70,1765678137
4,77,1765678138
4,168,1765678139
4,167,1765678140
4,64,1765678141
4,166,1765678142
4,165,1765678143
4,164,1765678144
4,163,1765678145
4,162,1765678146
4,161,1765678147
4,53,1765678148
4,160,1765678149
4,159,1765678150
4,158,1765678151
4,157,1765678152
4,156,1765678153
4,155,1765678154
4,154,1765678155
4,153,1765678156
4,152,1765678157
4,151,1765678158
4,72,1765678159
5,238,1765678110
5,237,1765678111
5,236,1765678112
5,234,1765678113
5,235,1765678114
5,233,1765678115
5,232,1765678116
5,231,1765678117
5,230,1765678118
5,227,1765678119
5,228,1765678120
5,229,1765678121
5,226,1765678122
5,225,1765678123
5,224,1765678124
5,223,1765678125
5,221,1765678126
5,222,1765678127
5,220,1765678128
5,219,1765678129
5,53,1765678130
5,218,1765678131
5,217,1765678132
5,216,1765678133
5,215,1765678134
5,214,1765678135
5,213,1765678136
5,212,1765678137
5,182,1765678138
5,211,1765678139
5,210,1765678140
5,173,1765678141
5,209,1765678142
5,208,1765678143
5,207,1765678144
5,206,1765678145
5,205,1765678146
5,204,1765678147
5,203,1765678148
5,202,1765678149
5,201,1765678150
5,200,1765678151
5,199,1765678152
5,198,1765678153
5,197,1765678154
5,196,1765678155
5,195,1765678156
5,194,1765678157
5,190,1765678158
5,154,1765678159
6,284,1765678110
6,285,1765678111
6,286,1765678112
6,287,1765678113
6,275,1765678114
6,276,1765678115
6,277,1765678116
6,278,1765678117
6,279,1765678118
6,280,1765678119
6,281,1765678120
6,282,1765678121
6,283,1765678122
6,271,1765678123
6,272,1765678124
6,273,1765678125
6,274,1765678126
6,77,1765678127
6,266,1765678128
6,267,1765678129
6,268,1765678130
6,269,1765678131
6,270,1765678132
6,262,1765678133
6,263,1765678134
6,264,1765678135
6,265,1765678136
6,257,1765678137
6,258,1765678138
6,259,1765678139
6,260,1765678140
6,261,1765678141
6,256,1765678142
6,254,1765678143
6,255,1765678144
6,253,1765678145
6,249,1765678146
6,250,1765678147
6,251,1765678148
6,252,1765678149
6,248,1765678150
6,247,1765678151
6,245,1765678152
6,246,1765678153
6,244,1765678154
6,243,1765678155
6,242,1765678156
6,241,1765678157
6,239,1765678158
6,240,1765678159
7,333,1765678110
7,332,1765678111
7,331,1765678112
7,330,1765678113
7,329,1765678114
7,328,1765678115
7,327,1765678116
7,326,1765678117
7,325,1765678118
7,324,1765678119
7,323,1765678120
7,322,1765678121
7,321,1765678122
7,320,1765678123
7,319,1765678124
7,318,1765678125
7,317,1765678126
7,316,1765678127
7,315,1765678128
7,314,1765678129
7,313,1765678130
7,312,1765678131
7,311,1765678132
7,310,1765678133
7,309,1765678134
7,308,1765678135
7,307,1765678136
7,306,1765678137
7,305,1765678138
7,304,1765678139
7,303,1765678140
7,302,1765678141
7,301,1765678142
7,300,1765678143
7,299,1765678144
7,298,1765678145
7,297,1765678146
7,296,1765678147
7,67,1765678148
7,295,1765678149
7,55,1765678150
7,294,1765678151
7,293,1765678152
7,292,1765678153
7,257,1765678154
7,291,1765678155
7,89,1765678156
7,290,1765678157
7,289,1765678158
7,288,1765678159
8,366,1765678110
8,365,1765678111
8,364,1765678112
8,71,1765678113
8,363,1765678114
8,362,1765678115
8,251,1765678116
8,361,1765678117
8,360,1765678118
8,359,1765678119
8,358,1765678120
8,357,1765678121
8,300,1765678122
8,356,1765678123
8,311,1765678124
8,97,1765678125
8,355,1765678126
8,354,1765678127
8,353,1765678128
8,291,1765678129
8,352,1765678130
8,288,1765678131
8,302,1765678132
8,351,1765678133
8,257,1765678134
8,349,1765678135
8,350,1765678136
8,348,1765678137
8,347,1765678138
8,346,1765678139
8,345,1765678140
8,344,1765678141
8,323,1765678142
8,265,1765678143
8,343,1765678144
8,298,1765678145
8,342,1765678146
8,292,1765678147
8,341,1765678148
8,340,1765678149
8,339,1765678150
8,89,1765678151
8,338,1765678152
8,296,1765678153
8,337,1765678154
8,295,1765678155
8,336,1765678156
8,289,1765678157
8,335,1765678158
8,334,1765678159
9,415,1765678110
9,414,1765678111
9,413,1765678112
9,412,1765678113
9,411,1765678114
9,410,1765678115
9,409,1765678116
9,407,1765678117
9,408,1765678118
9,406,1765678119
9,405,1765678120
9,403,1765678121
9,404,1765678122
9,402,1765678123
9,401,1765678124
9,400,1765678125
9,399,1765678126
9,398,1765678127
9,396,1765678128
9,397,1765678129
9,395,1765678130
9,394,1765678131
9,393,1765678132
9,392,1765678133
9,391,1765678134
9,390,1765678135
9,389,1765678136
9,388,1765678137
9,387,1765678138
9,386,1765678139
9,385,1765678140
9,384,1765678141
9,383,1765678142
9,382,1765678143
9,380,1765678144
9,381,1765678145
9,379,1765678146
9,8,1765678147
9,378,1765678148
9,377,1765678149
9,376,1765678150
9,375,1765678151
9,374,1765678152
9,373,1765678153
9,372,1765678154
9,371,1765678155
9,370,1765678156
9,369,1765678157
9,368,1765678158
9,367,1765678159
10,454,1765678110
10,453,1765678111
10,452,1765678112
10,451,1765678113
10,450,1765678114
10,154,1765678115
10,449,1765678116
10,448,1765678117
10,219,1765678118
10,447,1765678119
10,446,1765678120
10,445,1765678121
10,444,1765678122
10,159,1765678123
10,443,1765678124
10,442,1765678125
10,441,1765678126
10,440,1765678127
10,228,1765678128
10,439,1765678129
10,200,1765678130
10,438,1765678131
10,208,1765678132
10,437,1765678133
10,436,1765678134
10,435,1765678135
10,434,1765678136
10,433,1765678137
10,432,1765678138
10,431,1765678139
10,430,1765678140
10,429,1765678141
10,428,1765678142
10,427,1765678143
10,426,1765678144
