user_id	tag_id
0	37
1	42
2	45
3	20
4	15
5	0
6	45
7	15
8	42
9	12
10	15
11	34
12	47
13	11
14	2
15	11
16	28
17	9
18	38
19	20
20	11
21	2
22	38
23	49
24	47
25	37
26	7
27	46
28	47
29	0
30	37
31	0
32	1
33	49
34	41
35	24
36	20
37	37
38	0
39	45
40	11
41	38
42	34
43	38
44	37
45	11
46	34
47	1
48	35
49	11
50	34
51	45
52	44
53	31
54	20
55	15
56	0
57	21
58	31
59	20
60	11
61	40
62	23
63	20
64	10
65	20
66	31
67	23
68	0
69	0
70	11
71	0
72	10
73	31
74	37
75	15
76	11
77	37
78	11
79	0
80	41
81	2
82	47
83	45
84	11
85	20
86	45
87	7
88	11
89	42
90	31
91	49
92	3
93	11
94	15
95	15
96	17
97	34
98	37
99	45
100	3
101	11
102	3
103	34
104	47
105	31
106	41
107	34
108	35
109	0
110	37
111	31
112	20
113	31
114	20
115	45
116	38
117	38
118	20
119	23
120	35
121	45
122	25
123	11
124	47
125	31
126	38
127	11
128	10
129	10
130	8
131	37
132	42
133	37
134	0
135	17
136	2
137	23
138	28
139	31
140	11
141	0
142	0
143	11
144	34
145	29
146	2
147	24
148	44
149	40
150	6
151	34
152	11
153	34
154	31
155	42
156	25
157	11
158	20
159	11
160	29
161	3
162	23
163	34
164	35
165	26
166	11
167	34
168	4
169	46
170	34
171	11
172	13
173	3
174	18
175	45
176	47
177	7
178	45
179	31
180	26
181	15
182	7
183	34
184	20
185	2
186	8
187	34
188	20
189	46
190	11
191	26
192	17
193	20
194	44
195	31
196	34
197	12
198	48
199	11
200	23
201	12
202	11
203	12
204	17
205	20
206	11
207	16
208	11
209	45
210	11
211	42
212	20
213	23
214	45
215	29
216	11
217	34
218	11
219	46
220	11
221	35
222	2
223	49
224	18
225	11
226	11
227	20
228	0
229	38
230	47
231	23
232	37
233	20
234	13
235	35
236	42
237	17
238	23
239	35
240	47
241	42
242	20
243	42
244	16
245	34
246	34
247	45
248	42
249	11
250	45
251	45
252	0
253	11
254	39
255	47
256	37
257	2
258	32
259	3
260	26
261	45
262	35
263	49
264	41
265	7
266	23
267	42
268	11
269	46
270	12
271	24
272	2
273	32
274	35
275	11
276	20
277	45
278	34
279	31
280	15
281	34
282	20
283	39
284	41
285	23
286	15
287	3
288	7
289	34
290	41
291	45
292	32
293	34
294	48
295	45
296	46
297	34
298	41
299	1
300	6
301	6
302	32
303	11
304	20
305	2
306	43
307	33
308	2
309	42
310	20
311	31
312	34
313	43
314	11
315	35
316	34
317	11
318	13
319	34
320	46
321	31
322	46
323	45
324	11
325	1
326	17
327	20
328	26
329	7
330	6
331	23
332	41
333	31
334	31
335	35
336	3
337	12
338	41
339	7
340	11
341	22
342	38
343	47
344	34
345	9
346	7
347	7
348	2
349	37
350	3
351	44
352	34
353	0
354	39
355	11
356	20
357	31
358	45
359	45
360	11
361	20
362	34
363	11
364	11
365	43
366	34
367	48
368	0
369	0
370	23
371	10
372	20
