user_id	tag_id
0	26
1	10
2	10
3	6
4	0
5	46
6	0
7	10
8	10
9	37
10	10
11	10
12	28
13	13
14	10
15	10
16	40
17	10
18	10
19	10
20	10
21	10
22	6
23	10
24	0
25	10
26	10
27	10
28	22
29	19
30	10
31	10
32	10
33	20
34	10
35	10
36	25
37	10
38	10
39	8
40	10
41	5
42	10
43	10
44	11
45	10
46	2
47	10
48	22
49	10
50	10
51	10
52	10
53	10
54	24
55	10
56	10
57	37
58	44
59	10
60	10
61	10
62	26
63	6
64	10
65	10
66	45
67	10
68	10
69	10
70	39
71	0
72	10
73	10
74	46
75	10
76	10
77	10
78	0
79	24
80	10
81	10
82	10
83	10
84	10
85	10
86	6
87	6
88	10
89	10
90	10
91	10
92	6
93	12
94	10
95	2
96	10
97	10
98	10
99	10
100	10
101	10
102	10
103	10
104	6
105	10
106	0
107	10
108	37
109	10
110	10
111	10
112	10
113	10
114	10
115	24
116	17
117	10
118	10
119	0
120	10
121	7
122	30
123	16
124	6
125	10
126	10
127	10
128	10
129	10
130	39
131	10
132	10
133	17
134	10
135	10
136	6
137	10
138	25
139	25
140	13
141	10
142	10
143	25
144	0
145	37
146	10
147	10
148	10
149	10
150	10
151	0
152	10
153	10
154	10
155	10
156	10
157	10
158	45
159	38
160	10
161	37
162	10
163	10
164	10
165	10
166	17
167	18
168	10
169	10
170	44
171	10
172	24
173	10
174	10
175	10
176	37
177	42
178	10
179	10
180	25
181	38
182	10
183	10
184	10
185	25
186	11
187	45
188	35
189	10
190	26
191	10
192	0
193	25
194	10
195	42
196	10
197	22
198	10
199	10
200	10
201	46
202	10
203	10
204	10
205	40
206	10
207	30
208	25
209	46
210	37
211	10
212	10
213	10
214	10
215	10
216	10
217	10
218	20
219	10
220	10
221	37
222	10
223	6
224	13
225	10
226	20
227	10
228	10
229	10
230	10
231	10
232	6
233	37
234	10
235	20
236	10
237	10
238	10
239	37
240	10
241	10
242	17
243	10
244	10
245	10
246	10
247	10
248	10
249	10
250	10
251	10
252	10
253	10
254	6
255	24
256	10
257	10
258	10
259	10
260	10
261	5
262	10
263	49
264	10
265	24
266	5
267	2
268	10
269	10
270	6
271	10
272	10
273	10
274	10
275	10
276	10
277	10
278	10
279	26
280	10
281	10
282	10
283	10
284	10
285	10
286	10
287	10
288	29
289	10
290	2
291	10
292	22
293	10
294	10
295	10
296	10
297	10
298	10
299	10
300	10
301	10
